Localité;ID;Code postal;ssCommune;Sous-commune;Commune principale;Province;;;;;;;;;;;;;;;;;;;;;
Roux-Miroir;1308;1315;VRAI;Oui;INCOURT;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Beauvechain;1309;1320;FAUX;Non;BEAUVECHAIN;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Hamme-Mille;1310;1320;VRAI;Oui;BEAUVECHAIN;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
L'Ecluse;1311;1320;VRAI;Oui;BEAUVECHAIN;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Nodebais;1312;1320;VRAI;Oui;BEAUVECHAIN;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Tourinnes-La-Grosse;1313;1320;VRAI;Oui;BEAUVECHAIN;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Bonlez;1314;1325;VRAI;Oui;CHAUMONT-GISTOUX;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Chaumont-Gistoux;1315;1325;FAUX;Non;CHAUMONT-GISTOUX;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Corroy-Le-Grand;1316;1325;VRAI;Oui;CHAUMONT-GISTOUX;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Dion-Valmont;1317;1325;VRAI;Oui;CHAUMONT-GISTOUX;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Longueville;1318;1325;VRAI;Oui;CHAUMONT-GISTOUX;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Rixensart;1319;1330;FAUX;Non;RIXENSART;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Rosières;1320;1331;VRAI;Oui;RIXENSART;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Genval;1321;1332;VRAI;Oui;RIXENSART;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Ottignies;1322;1340;VRAI;Oui;OTTIGNIES-LOUVAIN-LA-NEUVE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Céroux-Mousty;1323;1341;VRAI;Oui;OTTIGNIES-LOUVAIN-LA-NEUVE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Limelette;1324;1342;VRAI;Oui;OTTIGNIES-LOUVAIN-LA-NEUVE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Louvain-La-Neuve;1325;1348;VRAI;Oui;OTTIGNIES-LOUVAIN-LA-NEUVE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Enines;1326;1350;VRAI;Oui;ORP-JAUCHE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Folx-Les-Caves;1327;1350;VRAI;Oui;ORP-JAUCHE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Jandrain-Jandrenouille;1328;1350;VRAI;Oui;ORP-JAUCHE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Jauche;1329;1350;VRAI;Oui;ORP-JAUCHE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Marilles;1330;1350;VRAI;Oui;ORP-JAUCHE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Noduwez;1331;1350;VRAI;Oui;ORP-JAUCHE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Orp-Le-Grand;1332;1350;VRAI;Oui;ORP-JAUCHE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Linsmeau;1333;1357;VRAI;Oui;HÉLÉCINE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Neerheylissem;1334;1357;VRAI;Oui;HÉLÉCINE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Opheylissem;1335;1357;VRAI;Oui;HÉLÉCINE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Malèves-Sainte-Marie-Wastinnes;1336;1360;VRAI;Oui;PERWEZ;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Orbais;1337;1360;VRAI;Oui;PERWEZ;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Perwez;1338;1360;FAUX;Non;PERWEZ;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Thorembais-Les-Béguines;1339;1360;VRAI;Oui;PERWEZ;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Thorembais-Saint-Trond;1340;1360;VRAI;Oui;PERWEZ;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Autre-Eglise;1341;1367;VRAI;Oui;RAMILLIES;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Bomal;1342;1367;VRAI;Oui;RAMILLIES;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Geest-Gérompont-Petit-Rosière;1343;1367;VRAI;Oui;RAMILLIES;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Gérompont;1344;1367;VRAI;Oui;RAMILLIES;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Grand-Rosière-Hottomont;1345;1367;VRAI;Oui;RAMILLIES;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Huppaye;1346;1367;VRAI;Oui;RAMILLIES;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Mont-Saint-André;1347;1367;VRAI;Oui;RAMILLIES;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Ramillies;1348;1367;FAUX;Non;RAMILLIES;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Dongelberg;1349;1370;VRAI;Oui;JODOIGNE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Jauchelette;1350;1370;VRAI;Oui;JODOIGNE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Jodoigne;1351;1370;FAUX;Non;JODOIGNE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Jodoigne-Souveraine;1352;1370;VRAI;Oui;JODOIGNE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Lathuy;1353;1370;VRAI;Oui;JODOIGNE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Mélin;1354;1370;VRAI;Oui;JODOIGNE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Piétrain;1355;1370;VRAI;Oui;JODOIGNE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Saint-Jean-Geest;1356;1370;VRAI;Oui;JODOIGNE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Saint-Remy-Geest;1357;1370;VRAI;Oui;JODOIGNE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
